measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Australia,Male,85 to 89,Self-harm,Percent,2017,0.0035028750346140004,0.0042766093583075735,0.00283549178275675
Deaths,Australia,Female,85 to 89,Self-harm,Percent,2017,0.0007610018672706722,0.0009347411981621801,0.0006247537061659533
Deaths,Australia,Male,85 to 89,Self-harm,Rate,2017,40.98818665109728,50.54096679062856,32.36121775333926
Deaths,Australia,Female,85 to 89,Self-harm,Rate,2017,6.69138773221558,8.354595846558684,5.3139531597796115
Deaths,Australia,Male,90 to 94,Self-harm,Number,2017,22.856725649429343,27.944145821937557,18.376922338742563
Deaths,Australia,Female,90 to 94,Self-harm,Number,2017,6.5986266612621405,7.956253301014891,5.507300823608912
Deaths,Australia,Male,90 to 94,Self-harm,Percent,2017,0.0024072446953596026,0.002899890181657106,0.0019688579764955668
Deaths,Australia,Female,90 to 94,Self-harm,Percent,2017,0.0004340529142203697,0.0005126443608838011,0.00036358666604077814
Deaths,Australia,Male,90 to 94,Self-harm,Rate,2017,44.730624695373756,54.68670877733933,35.96364714693271
Deaths,Australia,Female,90 to 94,Self-harm,Rate,2017,7.0069436361617745,8.448578969093266,5.848087555090422
Deaths,Australia,Male,95 plus,Self-harm,Number,2017,5.376249949930025,6.239247606410479,4.505490452378917
Deaths,Australia,Female,95 plus,Self-harm,Number,2017,2.6010193391315966,3.054301938374573,2.160534977014214
Deaths,Australia,Male,95 plus,Self-harm,Percent,2017,0.0013894573356012332,0.0015925708772491387,0.0011759873606812107
Deaths,Australia,Female,95 plus,Self-harm,Percent,2017,0.00028001255705215164,0.00032636861720658565,0.00023579194115958557
Deaths,Australia,Male,95 plus,Self-harm,Rate,2017,42.497219209458585,49.31888876096001,35.61419524465404
Deaths,Australia,Female,95 plus,Self-harm,Rate,2017,8.563759464394856,10.056175568693597,7.113481079974944
Deaths,Australia,Male,10 to 14,Self-harm,Number,2017,6.219014967783451,8.231435646993246,4.464799546687953
Deaths,Australia,Female,10 to 14,Self-harm,Number,2017,4.54755454891395,6.121561085624954,3.317903812558767
Deaths,Australia,Male,10 to 14,Self-harm,Percent,2017,0.07919678324633037,0.10219116877563222,0.05730023226490767
Deaths,Australia,Female,10 to 14,Self-harm,Percent,2017,0.07360150072677202,0.09742181272192328,0.0537307786389191
Deaths,Australia,Male,10 to 14,Self-harm,Rate,2017,0.8324533774205776,1.101828254290554,0.5976408613582982
Deaths,Australia,Female,10 to 14,Self-harm,Rate,2017,0.6441352026717548,0.8670842643324114,0.46996217896019193
Deaths,Australia,Male,15 to 19,Self-harm,Number,2017,91.59847907268399,111.88243677314364,73.46627289500785
Deaths,Australia,Female,15 to 19,Self-harm,Number,2017,36.93339824726798,44.93333633812509,29.54635719245134
Deaths,Australia,Male,15 to 19,Self-harm,Percent,2017,0.2977309155638074,0.34502879935020275,0.2526282735655743
Deaths,Australia,Female,15 to 19,Self-harm,Percent,2017,0.24083608503641002,0.2800302480267447,0.2036956617564693
Deaths,Australia,Male,15 to 19,Self-harm,Rate,2017,12.458012952376802,15.216768450459632,9.99191022115778
Deaths,Australia,Female,15 to 19,Self-harm,Rate,2017,5.271712108808562,6.4135883645741725,4.217318101622308
Deaths,Australia,Male,20 to 24,Self-harm,Number,2017,186.57065798330788,223.53138070028075,152.27384544381275
Deaths,Australia,Female,20 to 24,Self-harm,Number,2017,45.85287607927509,56.05611880960555,37.03734319995504
Deaths,Australia,Male,20 to 24,Self-harm,Percent,2017,0.34707501454387457,0.39240401767268973,0.30226321160084
Deaths,Australia,Female,20 to 24,Self-harm,Percent,2017,0.24068783889287015,0.274616214598108,0.2074322149198562
Deaths,Australia,Male,20 to 24,Self-harm,Rate,2017,23.07093690405503,27.641422482810068,18.82986487985874
Deaths,Australia,Female,20 to 24,Self-harm,Rate,2017,5.856410685312293,7.159586949488886,4.73047518539047
Deaths,Australia,Male,25 to 29,Self-harm,Number,2017,202.00658611066345,238.93768373825037,168.20985149050438
Deaths,Australia,Female,25 to 29,Self-harm,Number,2017,52.47990943246169,64.35822452091342,42.04161631518002
Deaths,Australia,Male,25 to 29,Self-harm,Percent,2017,0.30986478214386737,0.34755808253625153,0.27047241998745974
Deaths,Australia,Female,25 to 29,Self-harm,Percent,2017,0.20345300418741719,0.2353740107167334,0.17249752033991333
Deaths,Australia,Male,25 to 29,Self-harm,Rate,2017,23.808571880086237,28.16128487527146,19.825276082614316
Deaths,Australia,Female,25 to 29,Self-harm,Rate,2017,6.081941962627633,7.458530142047786,4.872239171316527
Deaths,Australia,Male,30 to 34,Self-harm,Number,2017,225.49083179324865,272.1938743456982,186.41919446860408
Deaths,Australia,Female,30 to 34,Self-harm,Number,2017,58.50945041335919,71.8576533857563,45.94790049970449
Deaths,Australia,Male,30 to 34,Self-harm,Percent,2017,0.28191556598003337,0.31803404295262333,0.24525530884841762
Deaths,Australia,Female,30 to 34,Self-harm,Percent,2017,0.16301738818339676,0.1891615049400498,0.13764446869044963
Deaths,Australia,Male,30 to 34,Self-harm,Rate,2017,26.0760404642195,31.476838437755095,21.55774769028132
Deaths,Australia,Female,30 to 34,Self-harm,Rate,2017,6.577855178099295,8.078510976777853,5.1656379113033655
Deaths,Australia,Male,35 to 39,Self-harm,Number,2017,223.19683882616172,273.1641261649479,180.0600213770805
Deaths,Australia,Female,35 to 39,Self-harm,Number,2017,68.01695503510558,84.98546905965533,53.23662026889693
Deaths,Australia,Male,35 to 39,Self-harm,Percent,2017,0.23470979894955118,0.26866385468128506,0.20241946079903986
Deaths,Australia,Female,35 to 39,Self-harm,Percent,2017,0.13449328806805286,0.15677282840044648,0.11495286455549528
Deaths,Australia,Male,35 to 39,Self-harm,Rate,2017,27.576643312345016,33.75025252416894,22.246959277932916
Deaths,Australia,Female,35 to 39,Self-harm,Rate,2017,8.282427755002693,10.348684491217188,6.482625708105804
Deaths,Australia,Male,40 to 44,Self-harm,Number,2017,237.74808076714635,291.2277565921108,191.17171375444187
Deaths,Australia,Female,40 to 44,Self-harm,Number,2017,68.75308370972411,86.08555530662721,54.27652090184464
Deaths,Australia,Male,40 to 44,Self-harm,Percent,2017,0.1871765580321477,0.2139304473472225,0.1611207240624165
Deaths,Australia,Female,40 to 44,Self-harm,Percent,2017,0.09653326276889905,0.11348840319879172,0.08197895638593516
Deaths,Australia,Male,40 to 44,Self-harm,Rate,2017,30.567585560221218,37.44353829656986,24.57920037893547
Deaths,Australia,Female,40 to 44,Self-harm,Rate,2017,8.600186691090366,10.768271139210983,6.7893422012824125
Deaths,Australia,Male,45 to 49,Self-harm,Number,2017,239.3638233633729,294.29751517329987,191.22619821330937
Deaths,Australia,Female,45 to 49,Self-harm,Number,2017,70.92824772067924,88.60630026144838,55.05989408905869
Deaths,Australia,Male,45 to 49,Self-harm,Percent,2017,0.12890536686698997,0.14932121134264523,0.10961478375658056
Deaths,Australia,Female,45 to 49,Self-harm,Percent,2017,0.060955650396910734,0.07256785390546316,0.05019004271433391
Deaths,Australia,Male,45 to 49,Self-harm,Rate,2017,29.86830841887474,36.723047061127644,23.8615969019401
Deaths,Australia,Female,45 to 49,Self-harm,Rate,2017,8.481546957741593,10.595475294677525,6.584021066524623
Deaths,Australia,Male,50 to 54,Self-harm,Number,2017,212.56177901058112,265.97223404975375,171.03017902770932
Deaths,Australia,Female,50 to 54,Self-harm,Number,2017,69.47838006758418,85.94215467391764,53.89687512812648
Deaths,Australia,Male,50 to 54,Self-harm,Percent,2017,0.08161182776902125,0.09611013941577345,0.06949122953288617
Deaths,Australia,Female,50 to 54,Self-harm,Percent,2017,0.04273221997651861,0.05140955028395169,0.035716791485152874
Deaths,Australia,Male,50 to 54,Self-harm,Rate,2017,28.494241298773815,35.65399692769024,22.926864901452692
Deaths,Australia,Female,50 to 54,Self-harm,Rate,2017,9.001207968963943,11.134157226583406,6.982560350912572
Deaths,Australia,Male,55 to 59,Self-harm,Number,2017,177.95039911445394,221.8513679376996,140.9652108505208
Deaths,Australia,Female,55 to 59,Self-harm,Number,2017,58.34849953541885,72.55471312700024,45.83497493944084
Deaths,Australia,Male,55 to 59,Self-harm,Percent,2017,0.04592170508713153,0.05371245912310053,0.03803851679628576
Deaths,Australia,Female,55 to 59,Self-harm,Percent,2017,0.02464750966211227,0.029454600732251045,0.020123058669887575
Deaths,Australia,Male,55 to 59,Self-harm,Rate,2017,24.572399918518734,30.63449457019407,19.465275452343555
Deaths,Australia,Female,55 to 59,Self-harm,Rate,2017,7.692724164331567,9.565685482099042,6.042928645905183
Deaths,Australia,Male,60 to 64,Self-harm,Number,2017,136.61374843926245,168.73541471288675,107.36922441656965
Deaths,Australia,Female,60 to 64,Self-harm,Number,2017,42.04076172350891,53.54534578193845,32.4765326651274
Deaths,Australia,Male,60 to 64,Self-harm,Percent,2017,0.02601076072703559,0.031283175555019464,0.021459917889911934
Deaths,Australia,Female,60 to 64,Self-harm,Percent,2017,0.013160996724472454,0.016011094296009002,0.01059544958567756
Deaths,Australia,Male,60 to 64,Self-harm,Rate,2017,21.322225195459335,26.335669374864963,16.7578359295934
Deaths,Australia,Female,60 to 64,Self-harm,Rate,2017,6.206990826021043,7.905553001880209,4.794906943864803
Deaths,Australia,Male,65 to 69,Self-harm,Number,2017,110.32045363258537,137.46750460228836,86.93581699675256
Deaths,Australia,Female,65 to 69,Self-harm,Number,2017,31.144977114587263,39.889061888972684,23.579982037108973
Deaths,Australia,Male,65 to 69,Self-harm,Percent,2017,0.014889161245290808,0.017630784281350148,0.01223084093527759
Deaths,Australia,Female,65 to 69,Self-harm,Percent,2017,0.006962230524235972,0.008656358038917823,0.0055305067515195195
Deaths,Australia,Male,65 to 69,Self-harm,Rate,2017,19.149549199697475,23.861765031426728,15.09041750625545
Deaths,Australia,Female,65 to 69,Self-harm,Rate,2017,5.143311921206011,6.587318615918545,3.8940212499460514
Deaths,Australia,Male,70 to 74,Self-harm,Number,2017,95.76356647479265,120.38778390598611,74.18532164228424
Deaths,Australia,Female,70 to 74,Self-harm,Number,2017,30.27438232277352,38.26523722023717,23.21446354588648
Deaths,Australia,Male,70 to 74,Self-harm,Percent,2017,0.00975029160195114,0.011839086161473542,0.008040678856431914
Deaths,Australia,Female,70 to 74,Self-harm,Percent,2017,0.004900933906735746,0.006026137227948937,0.003942898456024632
Deaths,Australia,Male,70 to 74,Self-harm,Rate,2017,20.580353721396857,25.872294315317237,15.943016916936662
Deaths,Australia,Female,70 to 74,Self-harm,Rate,2017,6.161061086116691,7.787259256856381,4.724315312621473
Deaths,Australia,Male,75 to 79,Self-harm,Number,2017,74.3882784105113,92.81469996751208,58.779329688525635
Deaths,Australia,Female,75 to 79,Self-harm,Number,2017,19.35337293583415,25.16289442154668,14.541503137776083
Deaths,Australia,Male,75 to 79,Self-harm,Percent,2017,0.006473457396232144,0.00778619190737198,0.005347081649884989
Deaths,Australia,Female,75 to 79,Self-harm,Percent,2017,0.0024133268669880442,0.0029966984351705844,0.0018962186470200012
Deaths,Australia,Male,75 to 79,Self-harm,Rate,2017,23.350336040110182,29.13435396022245,18.450717367933567
Deaths,Australia,Female,75 to 79,Self-harm,Rate,2017,5.461488615569841,7.100925604735663,4.103587219837456
Prevalence,Australia,Male,1 to 4,Self-harm,Number,2017,0.0,0.0,0.0
Prevalence,Australia,Female,1 to 4,Self-harm,Number,2017,0.0,0.0,0.0
Prevalence,Australia,Male,1 to 4,Self-harm,Percent,2017,0.0,0.0,0.0
Prevalence,Australia,Female,1 to 4,Self-harm,Percent,2017,0.0,0.0,0.0
Prevalence,Australia,Male,1 to 4,Self-harm,Rate,2017,0.0,0.0,0.0
Prevalence,Australia,Female,1 to 4,Self-harm,Rate,2017,0.0,0.0,0.0
Prevalence,Australia,Male,5 to 9,Self-harm,Number,2017,0.0,0.0,0.0
Prevalence,Australia,Female,5 to 9,Self-harm,Number,2017,0.0,0.0,0.0
Prevalence,Australia,Male,5 to 9,Self-harm,Percent,2017,0.0,0.0,0.0
Prevalence,Australia,Female,5 to 9,Self-harm,Percent,2017,0.0,0.0,0.0
Prevalence,Australia,Male,5 to 9,Self-harm,Rate,2017,0.0,0.0,0.0
Prevalence,Australia,Female,5 to 9,Self-harm,Rate,2017,0.0,0.0,0.0
Prevalence,Australia,Male,10 to 14,Self-harm,Number,2017,51.8651616568,75.8694783354,35.7140843465
Prevalence,Australia,Female,10 to 14,Self-harm,Number,2017,179.086655828,268.161762361,119.556989156
Prevalence,Australia,Male,10 to 14,Self-harm,Percent,2017,8.66187526353e-05,0.00012554410102,5.94363519246e-05
Prevalence,Australia,Female,10 to 14,Self-harm,Percent,2017,0.000309303202206,0.00046167434139,0.000208177814483
Prevalence,Australia,Male,10 to 14,Self-harm,Rate,2017,6.94247066704,10.1555959924,4.78054969955
Prevalence,Australia,Female,10 to 14,Self-harm,Rate,2017,25.3666048657,37.9835864065,16.9345666143
Prevalence,Australia,Male,15 to 19,Self-harm,Number,2017,318.555776453,440.652802959,228.728139038
Prevalence,Australia,Female,15 to 19,Self-harm,Number,2017,934.549895507,1377.02828652,631.861277435
Prevalence,Australia,Male,15 to 19,Self-harm,Percent,2017,0.000486852807123,0.000677345324739,0.000349204289885
Prevalence,Australia,Female,15 to 19,Self-harm,Percent,2017,0.00143227609374,0.00211123744835,0.000962933954571
Prevalence,Australia,Male,15 to 19,Self-harm,Rate,2017,43.3257410962,59.931762866999996,31.108574591599996
Prevalence,Australia,Female,15 to 19,Self-harm,Rate,2017,133.393574224,196.55100902499998,90.1891216465
Prevalence,Australia,Male,20 to 24,Self-harm,Number,2017,990.307148317,1433.64207673,667.656696024
Prevalence,Australia,Female,20 to 24,Self-harm,Number,2017,2353.04156563,3435.02830194,1505.36316186
Prevalence,Australia,Male,20 to 24,Self-harm,Percent,2017,0.00132617104853,0.00191599779447,0.000890872317107
Prevalence,Australia,Female,20 to 24,Self-harm,Percent,2017,0.00311709682315,0.00454124769034,0.00200109923677
Prevalence,Australia,Male,20 to 24,Self-harm,Rate,2017,122.45930834699999,177.28117729099998,82.5610290173
Prevalence,Australia,Female,20 to 24,Self-harm,Rate,2017,300.534643543,438.72790917300006,192.267653858
Prevalence,Australia,Male,25 to 29,Self-harm,Number,2017,1615.57566193,2169.29738097,1178.14783763
Prevalence,Australia,Female,25 to 29,Self-harm,Number,2017,3628.73647823,4924.45558691,2461.29345646
Prevalence,Australia,Male,25 to 29,Self-harm,Percent,2017,0.00200913255199,0.00270009485825,0.00147184024179
Prevalence,Australia,Female,25 to 29,Self-harm,Percent,2017,0.00430004135046,0.00583042073303,0.00293274644152
Prevalence,Australia,Male,25 to 29,Self-harm,Rate,2017,190.412352465,255.67420161200002,138.856945299
Prevalence,Australia,Female,25 to 29,Self-harm,Rate,2017,420.537399872,570.699404801,285.24142128
Prevalence,Australia,Male,30 to 34,Self-harm,Number,2017,2335.59252018,2985.17536272,1725.40473625
Prevalence,Australia,Female,30 to 34,Self-harm,Number,2017,4962.99534556,6391.27492668,3495.26214307
Prevalence,Australia,Male,30 to 34,Self-harm,Percent,2017,0.00281567080679,0.00360654854701,0.002086828202
Prevalence,Australia,Female,30 to 34,Self-harm,Percent,2017,0.00567983096665,0.00729866821414,0.00400726819272
Prevalence,Australia,Male,30 to 34,Self-harm,Rate,2017,270.09082622,345.209394688,199.527951366
Prevalence,Australia,Female,30 to 34,Self-harm,Rate,2017,557.958832326,718.531460715,392.950677611
Prevalence,Australia,Male,35 to 39,Self-harm,Number,2017,2634.56644914,3252.95387121,2072.32176479
Prevalence,Australia,Female,35 to 39,Self-harm,Number,2017,5337.3542937,6689.71886952,4029.06774862
Prevalence,Australia,Male,35 to 39,Self-harm,Percent,2017,0.00337332384355,0.00417104914389,0.00265388812079
Prevalence,Australia,Female,35 to 39,Self-harm,Percent,2017,0.00659617659809,0.00825273209215,0.00498023293509
Prevalence,Australia,Male,35 to 39,Self-harm,Rate,2017,325.508639068,401.91227209799996,256.041610789
Prevalence,Australia,Female,35 to 39,Self-harm,Rate,2017,649.929878772,814.607375609,490.619765773
Prevalence,Australia,Male,40 to 44,Self-harm,Number,2017,2970.35054271,3619.06486047,2367.41558825
Prevalence,Australia,Female,40 to 44,Self-harm,Number,2017,5997.00445875,7343.04637332,4651.63719817
Prevalence,Australia,Male,40 to 44,Self-harm,Percent,2017,0.00393923618514,0.00479447391339,0.00312915756377
Prevalence,Australia,Female,40 to 44,Self-harm,Percent,2017,0.00759388192144,0.00931543008503,0.00588431187085
Prevalence,Australia,Male,40 to 44,Self-harm,Rate,2017,381.901902489,465.30796132399996,304.381757014
Prevalence,Australia,Female,40 to 44,Self-harm,Rate,2017,750.153377124,918.52708685,581.864058526
Prevalence,Australia,Male,45 to 49,Self-harm,Number,2017,3418.38552492,4086.65970626,2721.2114411
Prevalence,Australia,Female,45 to 49,Self-harm,Number,2017,6985.7418829,8466.32803011,5482.06870451
Prevalence,Australia,Male,45 to 49,Self-harm,Percent,2017,0.00437516131181,0.00523008063618,0.00349467400137
Prevalence,Australia,Female,45 to 49,Self-harm,Percent,2017,0.0084406447128,0.0102344170834,0.00661940258002
Prevalence,Australia,Male,45 to 49,Self-harm,Rate,2017,426.55315125799996,509.94177313200004,339.558340327
Prevalence,Australia,Female,45 to 49,Self-harm,Rate,2017,835.349803759,1012.3971908899999,655.5416866630001
Prevalence,Australia,Male,50 to 54,Self-harm,Number,2017,3412.75913293,4056.0626058,2744.96431543
Prevalence,Australia,Female,50 to 54,Self-harm,Number,2017,6905.21052025,8313.15138891,5484.64849955
Prevalence,Australia,Male,50 to 54,Self-harm,Percent,2017,0.00466102880703,0.00551879136555,0.00375245682037
Prevalence,Australia,Female,50 to 54,Self-harm,Percent,2017,0.009038783066,0.0109019674588,0.00716992732269
Prevalence,Australia,Male,50 to 54,Self-harm,Rate,2017,457.485737469,543.721581323,367.966790287
Prevalence,Australia,Female,50 to 54,Self-harm,Rate,2017,894.598231879,1077.0027231,710.558618855
Prevalence,Australia,Male,55 to 59,Self-harm,Number,2017,3510.90822998,4158.22053463,2831.09273515
Prevalence,Australia,Female,55 to 59,Self-harm,Number,2017,7073.5161321,8462.57093952,5676.18939966
Prevalence,Australia,Male,55 to 59,Self-harm,Percent,2017,0.00490940718756,0.00580382183838,0.00397172223266
Prevalence,Australia,Female,55 to 59,Self-harm,Percent,2017,0.00941337011729,0.0112785652146,0.00754227558633
Prevalence,Australia,Male,55 to 59,Self-harm,Rate,2017,484.80611189300004,574.1906645600001,390.933334462
Prevalence,Australia,Female,55 to 59,Self-harm,Rate,2017,932.579396376,1115.7137625999999,748.354451336
Prevalence,Australia,Male,60 to 64,Self-harm,Number,2017,3207.23696106,3778.10417742,2610.31507079
Prevalence,Australia,Female,60 to 64,Self-harm,Number,2017,6406.5552559,7681.69296027,5140.02775576
Prevalence,Australia,Male,60 to 64,Self-harm,Percent,2017,0.00504522259263,0.0059459590309,0.00410273630682
Prevalence,Australia,Female,60 to 64,Self-harm,Percent,2017,0.00951911963244,0.0114329843329,0.00763548101718
Prevalence,Australia,Male,60 to 64,Self-harm,Rate,2017,500.57501181300006,589.674092127,407.409403565
Prevalence,Australia,Female,60 to 64,Self-harm,Rate,2017,945.8779543830001,1134.14209872,758.885039604
Prevalence,Australia,Male,65 to 69,Self-harm,Number,2017,2970.21371446,3522.37391783,2436.85703722
Prevalence,Australia,Female,65 to 69,Self-harm,Number,2017,5766.96520862,6891.1861451,4629.03566297
Prevalence,Australia,Male,65 to 69,Self-harm,Percent,2017,0.00517569377071,0.00613715241521,0.00424276361209
Prevalence,Australia,Female,65 to 69,Self-harm,Percent,2017,0.00955759749245,0.0114215379332,0.00766529363648
Prevalence,Australia,Male,65 to 69,Self-harm,Rate,2017,515.5730581749999,611.4176511989999,422.992402499
Prevalence,Australia,Female,65 to 69,Self-harm,Rate,2017,952.3622636650001,1138.01720646,764.443467768
Prevalence,Australia,Male,70 to 74,Self-harm,Number,2017,2448.20054667,2881.82876287,2005.87516439
Prevalence,Australia,Female,70 to 74,Self-harm,Number,2017,4673.94259475,5587.52065382,3747.0828286
Prevalence,Australia,Male,70 to 74,Self-harm,Percent,2017,0.00527146285681,0.00620320483604,0.00431914887006
Prevalence,Australia,Female,70 to 74,Self-harm,Percent,2017,0.00952927908079,0.0113881148952,0.00764155583058
Prevalence,Australia,Male,70 to 74,Self-harm,Rate,2017,526.137810926,619.32797083,431.07856070599996
Prevalence,Australia,Female,70 to 74,Self-harm,Rate,2017,951.181944266,1137.1018474,762.559115347
Prevalence,Australia,Male,75 to 79,Self-harm,Number,2017,1734.30057403,2029.1975073,1439.6240979
Prevalence,Australia,Female,75 to 79,Self-harm,Number,2017,3360.69228323,4000.79754342,2698.73267978
Prevalence,Australia,Male,75 to 79,Self-harm,Percent,2017,0.00544972172235,0.0063731167578,0.00452259840841
Prevalence,Australia,Female,75 to 79,Self-harm,Percent,2017,0.00949523163552,0.011307128771,0.00762828964855
Prevalence,Australia,Male,75 to 79,Self-harm,Rate,2017,544.393580057,636.961154359,451.895206822
Prevalence,Australia,Female,75 to 79,Self-harm,Rate,2017,948.381592508,1129.01819797,761.577728902
Prevalence,Australia,Male,<1 year,Self-harm,Number,2017,0.0,0.0,0.0
Prevalence,Australia,Female,<1 year,Self-harm,Number,2017,0.0,0.0,0.0
Prevalence,Australia,Male,<1 year,Self-harm,Percent,2017,0.0,0.0,0.0
Prevalence,Australia,Female,<1 year,Self-harm,Percent,2017,0.0,0.0,0.0
Prevalence,Australia,Male,<1 year,Self-harm,Rate,2017,0.0,0.0,0.0
Prevalence,Australia,Female,<1 year,Self-harm,Rate,2017,0.0,0.0,0.0
Prevalence,Australia,Male,80 to 84,Self-harm,Number,2017,1183.87142431,1377.98640998,985.114408441
Prevalence,Australia,Female,80 to 84,Self-harm,Number,2017,2458.03332321,2940.4546351,1971.77913814
Prevalence,Australia,Male,80 to 84,Self-harm,Percent,2017,0.00564649951453,0.00656873155392,0.0046980263064
Prevalence,Australia,Female,80 to 84,Self-harm,Percent,2017,0.00942976749555,0.0112794548342,0.00756326090911
Prevalence,Australia,Male,80 to 84,Self-harm,Rate,2017,564.3064623370001,656.8336900400001,469.566555462
Prevalence,Australia,Female,80 to 84,Self-harm,Rate,2017,942.277907986,1127.21231886,755.874179471
Prevalence,Australia,Male,85 to 89,Self-harm,Number,2017,734.477484867,850.963919474,613.946249409
Prevalence,Australia,Female,85 to 89,Self-harm,Number,2017,1681.41054535,2015.01300715,1341.28254509
Prevalence,Australia,Male,85 to 89,Self-harm,Percent,2017,0.00593890051737,0.00687918461713,0.00496534573016
Prevalence,Australia,Female,85 to 89,Self-harm,Percent,2017,0.0093008601592,0.0111440164745,0.00741765766523
Prevalence,Australia,Male,85 to 89,Self-harm,Rate,2017,593.625481768,687.773113639,496.208727421
Prevalence,Australia,Female,85 to 89,Self-harm,Rate,2017,929.671710048,1114.1244434999999,741.610929466
Prevalence,Australia,Male,90 to 94,Self-harm,Number,2017,325.468363845,375.728410084,274.587383675
Prevalence,Australia,Female,90 to 94,Self-harm,Number,2017,868.411975268,1044.150055,693.07864199
Prevalence,Australia,Male,90 to 94,Self-harm,Percent,2017,0.00637149118145,0.00735629897345,0.00537502036724
Prevalence,Australia,Female,90 to 94,Self-harm,Percent,2017,0.00922415363788,0.0110909383234,0.00736076125067
Prevalence,Australia,Male,90 to 94,Self-harm,Rate,2017,636.941767454,735.3007056490001,537.367661215
Prevalence,Australia,Female,90 to 94,Self-harm,Rate,2017,922.148513022,1108.76110419,735.965713648
Prevalence,Australia,Male,95 plus,Self-harm,Number,2017,87.149336636,100.365416997,74.214200357
Prevalence,Australia,Female,95 plus,Self-harm,Number,2017,280.835283684,338.371556918,224.16801621
Prevalence,Australia,Male,95 plus,Self-harm,Percent,2017,0.00689076633883,0.00793551966082,0.00586981478094
Prevalence,Australia,Female,95 plus,Self-harm,Percent,2017,0.00924813077945,0.0111413845266,0.00738172819347
Prevalence,Australia,Male,95 plus,Self-harm,Rate,2017,688.882491974,793.350600678,586.635139809
Prevalence,Australia,Female,95 plus,Self-harm,Rate,2017,924.639729665,1114.07577,738.064858476
Prevalence,New Zealand,Male,1 to 4,Self-harm,Number,2017,0.0,0.0,0.0
Prevalence,New Zealand,Female,1 to 4,Self-harm,Number,2017,0.0,0.0,0.0
Prevalence,New Zealand,Male,1 to 4,Self-harm,Percent,2017,0.0,0.0,0.0
Prevalence,New Zealand,Female,1 to 4,Self-harm,Percent,2017,0.0,0.0,0.0
Prevalence,New Zealand,Male,1 to 4,Self-harm,Rate,2017,0.0,0.0,0.0
Prevalence,New Zealand,Female,1 to 4,Self-harm,Rate,2017,0.0,0.0,0.0
Prevalence,New Zealand,Male,5 to 9,Self-harm,Number,2017,0.0,0.0,0.0
Prevalence,New Zealand,Female,5 to 9,Self-harm,Number,2017,0.0,0.0,0.0
Prevalence,New Zealand,Male,5 to 9,Self-harm,Percent,2017,0.0,0.0,0.0
Prevalence,New Zealand,Female,5 to 9,Self-harm,Percent,2017,0.0,0.0,0.0
Prevalence,New Zealand,Male,5 to 9,Self-harm,Rate,2017,0.0,0.0,0.0
Prevalence,New Zealand,Female,5 to 9,Self-harm,Rate,2017,0.0,0.0,0.0
Prevalence,New Zealand,Male,10 to 14,Self-harm,Number,2017,14.3954891442,20.7563122877,10.2106615394
Prevalence,New Zealand,Female,10 to 14,Self-harm,Number,2017,56.7876403176,86.2180772982,38.0872788764
Prevalence,New Zealand,Male,10 to 14,Self-harm,Percent,2017,0.00011871919369,0.000171117772125,8.30312664151e-05
Prevalence,New Zealand,Female,10 to 14,Self-harm,Percent,2017,0.000473226556652,0.000716722841807,0.000316200039627
Prevalence,New Zealand,Male,10 to 14,Self-harm,Rate,2017,9.57673379835,13.8083308892,6.7927380923700005
Prevalence,New Zealand,Female,10 to 14,Self-harm,Rate,2017,39.4399630084,59.879892178599995,26.4522502005
Prevalence,New Zealand,Male,15 to 19,Self-harm,Number,2017,88.7329726752,120.975724759,62.9780513728
Prevalence,New Zealand,Female,15 to 19,Self-harm,Number,2017,321.201285205,469.042879395,219.658819328
Prevalence,New Zealand,Male,15 to 19,Self-harm,Percent,2017,0.000657309157069,0.000900610111934,0.000466116351123
Prevalence,New Zealand,Female,15 to 19,Self-harm,Percent,2017,0.00236593859129,0.00344581908361,0.00161493586217
Prevalence,New Zealand,Male,15 to 19,Self-harm,Rate,2017,58.7734119433,80.129808481,41.7143125619
Prevalence,New Zealand,Female,15 to 19,Self-harm,Rate,2017,221.38745218000003,323.28702535,151.399476278
Prevalence,New Zealand,Male,20 to 24,Self-harm,Number,2017,235.297666787,344.655801334,154.921767392
Prevalence,New Zealand,Female,20 to 24,Self-harm,Number,2017,743.68334493,1103.06722108,469.235592266
Prevalence,New Zealand,Male,20 to 24,Self-harm,Percent,2017,0.00171272436184,0.00251011471786,0.00112590252488
Prevalence,New Zealand,Female,20 to 24,Self-harm,Percent,2017,0.00526541877548,0.00778011176479,0.00331296351169
Prevalence,New Zealand,Male,20 to 24,Self-harm,Rate,2017,158.283426293,231.84803262900002,104.215007675
Prevalence,New Zealand,Female,20 to 24,Self-harm,Rate,2017,509.61680902,755.888377992,321.54860914799997
Prevalence,New Zealand,Male,25 to 29,Self-harm,Number,2017,318.035357497,435.180236359,225.174385348
Prevalence,New Zealand,Female,25 to 29,Self-harm,Number,2017,995.861269518,1376.61663717,657.714854167
Prevalence,New Zealand,Male,25 to 29,Self-harm,Percent,2017,0.00241593163091,0.00329624842564,0.00171171320728
Prevalence,New Zealand,Female,25 to 29,Self-harm,Percent,2017,0.00707083103778,0.00977171697616,0.00468502949365
Prevalence,New Zealand,Male,25 to 29,Self-harm,Rate,2017,229.675305184,314.273715923,162.613981292
Prevalence,New Zealand,Female,25 to 29,Self-harm,Rate,2017,692.0626721360001,956.664364395,457.071595624
